0  1
1  2
2  7
3  44
4  515
5  11500
6  493704
7  40751496
8  6463642330
9  1970190022696
10  1154437344815284
11  1300686960810345198
12  2818300749120970598426
13  11745284697899678209887246
14  94153940687296424300453605522
15  1451915619132744566900848537333082
16  43072062058620235613855525243039798546
17  2458218787430131938141065342199631011888808
18  269917990612156037679955033913220231218482526540
19  57022048161016261704452967864058833682099233234074924
20  23177397882827812987656054354088621630193659021408496092114
21  18126208865601871898868235390674787298375068592505362074324218782
22  27275828087021466037231281803108531532614036012259410718518383677989994
23  78974101601865877096497572762267816542675600879070694217812459537275320667130
24  439980515324228439963646464930268543060978419686632840124513851873692354257184355418
25  4716606546189621488078969490297265985170243927748285792380749595975920915553704131199964610
26  97292222614020401528875654356525325735532995996523907301076613477132417329484579095044048258220716
27  3861740982967126791934974463996504445993431827647538470677158069324943832308988274731817887045190314942500
28  2.949500706783448325609933945774742818150e+113
29  4.334885412278616200407684066432864339049e+121
30  1.225952248725790041157530580370267031888e+130
31  6.671739243277189632311419467078560925946e+138
32  6.986773266002586782963077345895896635439e+147
33  1.407954373804592561738076123152754521228e+157
34  5.459802406613863632156104633505038675057e+166
35  4.074211505773266403112352868440384240960e+176
36  5.850463124147231330543801670303836437664e+186
37  1.616659428411544825052023539960320878282e+197
38  8.596663182435086891230720879796139542033e+207
39  8.796820089511460418274846726524570799682e+218
40  1.732236482307069998116647980700319509764e+230
41  6.564104377320291903469466851355216679893e+241
42  4.786649996477541506682359217062913375399e+253
43  6.717021831772845893163759313799296941907e+265
44  1.813893008677380851477656337530824010247e+278
45  9.426213209745060828166691877715513610763e+290
46  9.426584037113002756535258121972231748925e+303
47  1.814110251609008680377215920374611396087e+317
48  6.718401732921418242492891730400747354047e+330
49  4.788085355888242471034309295517849177962e+344
50  6.566773636998694118719640656350645125345e+358
51  1.733153560202542679815468894968602179107e+373
52  8.802730997119505615429358192993479873141e+387
53  8.603867799417471742259130041124848523171e+402
54  1.618327564895197040818454431868877812055e+418
55  5.857819761741564858485993215864453898188e+433
56  4.080401415723831558535655295245737685723e+449
57  5.469750332770280484241678456258370946324e+465
58  1.411010488808557949947858386839094533201e+482
59  7.004731315330702993151792682310935556490e+498
60  6.691932908124845799495040280999817151973e+515
61  1.230299567791632367682644174224396783783e+533
62  4.352809732350411713512889377705483815799e+550
63  2.963659619803419235483625613851826286847e+568
64  3.883176055733562499195396108300926633459e+586
65  9.791432575953446174884768304541335813102e+604
66  4.751230051948873955296050986234182550949e+623
67  4.436768819567020502085888535555112378001e+642
68  7.973127400651297201153998746668981607056e+661
69  2.757350674243192535921640634522822118796e+681
70  1.835088099073668512082966635170120023549e+701
71  2.350301977928825214780110682712075435768e+721
72  5.792852207531629159608307294026456473270e+741
73  2.747662977483613976695222939347530467205e+762
74  2.508054065110499740217014931443314781121e+783
75  4.405679755236582290847118089452962747056e+804
76  1.489332713350036233960987898236604627581e+826
77  9.688877636018966536686528459247319136807e+847
78  1.212993047658184578620656621726894439661e+870
79  2.922445392345136877587651525046780561844e+892
80  1.354995641902412989757735877838231852856e+915
81  1.209018468857586289270875154189860459008e+938
82  2.076020569208634140033390217851358706904e+961
83  6.860159009283914367260227761310615332838e+984
84  4.362552359435438735638854530771442149633e+1008
85  5.338892623302717772501313560368214477911e+1032
86  1.257378130356341185384411943875856735986e+1057
87  5.698819682834107720398863695797398469463e+1081
