0   1
1   8
2   176
3   9172
4   1151156
5   365889264
6   308813396032
7   718640738910200
8   4732971477026278268
9   89774143793710923662396
10   4963811733288543976944895936
11   807029098767544610218003142677260
12   388251384314275424716358427122233196560
13   555279544353536878758930497631910438484857672
14   2369281562338923664687475384593194787991362234069856
15   30242469017228497029222428170631587362645144066816010779992
16   1157334830968684997812349313486405793159055139489539075527858732252
17   133017602531702431926090459378816184891970396066005418878770401897818314324
18   4.598333987260021227189857734415243170203e+82
19   4.786999567406478337697834540691804645783e+91
20   1.502268855354498735003841065184804841603e+101
21   1.422458373536296174733479079197927114005e+111
22   4.066998608403361703661159271340032901512e+121
23   3.513533451836503020958527384491093897599e+132
24   9.177158624989472547574492769379988707429e+143
25   7.250968914970785728403389256700869238767e+155
26   1.733854854110844751688740935856711788971e+168
27   1.255286461539302161310380869573472578917e+181
28   2.752663519800887823692576359393899619149e+194
29   1.828921305942165527065491203729824541392e+208
30   3.683041623307048542591558080731461688773e+222
31   2.248611369730475557411096363398649700261e+237
